table_name,column_name,data_type,full_data_type,is_nullable,column_default,constraints
account_status,id,uuid,uuid,NO,gen_random_uuid(),PK
account_status,user_id,uuid,uuid,NO,null,FK
account_status,user_id,uuid,uuid,NO,null,UQ
account_status,new_account,boolean,boolean,YES,true,
account_status,created_at,timestamp with time zone,timestamp with time zone,YES,now(),
account_status,updated_at,timestamp with time zone,timestamp with time zone,YES,now(),
ai_chat_usage,id,uuid,uuid,NO,gen_random_uuid(),PK
ai_chat_usage,created_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
ai_chat_usage,user_id,uuid,uuid,NO,null,FK
ai_chat_usage,user_id,uuid,uuid,NO,null,UQ
ai_chat_usage,event_id,uuid,uuid,NO,null,FK
ai_chat_usage,event_id,uuid,uuid,NO,null,UQ
ai_chat_usage,questions_asked,integer,"integer(32,0)",NO,0,
ai_chat_usage,week_start_date,date,date,NO,null,UQ
ai_chat_usage,last_question_at,timestamp with time zone,timestamp with time zone,YES,null,
ai_insights_usage,id,uuid,uuid,NO,gen_random_uuid(),PK
ai_insights_usage,created_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
ai_insights_usage,user_id,uuid,uuid,NO,null,UQ
ai_insights_usage,user_id,uuid,uuid,NO,null,FK
ai_insights_usage,event_id,uuid,uuid,NO,null,UQ
ai_insights_usage,event_id,uuid,uuid,NO,null,FK
ai_insights_usage,insights_generated,integer,"integer(32,0)",NO,0,
ai_insights_usage,week_start_date,date,date,NO,null,UQ
ai_insights_usage,last_generation_at,timestamp with time zone,timestamp with time zone,YES,null,
analytics_insights,id,uuid,uuid,NO,gen_random_uuid(),PK
analytics_insights,created_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
analytics_insights,user_id,uuid,uuid,NO,null,FK
analytics_insights,user_id,uuid,uuid,NO,null,UQ
analytics_insights,insights,text,text,NO,null,
analytics_insights,generated_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
analytics_insights,week_start_date,date,date,NO,null,UQ
analytics_insights_usage,id,uuid,uuid,NO,gen_random_uuid(),PK
analytics_insights_usage,created_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
analytics_insights_usage,user_id,uuid,uuid,NO,null,UQ
analytics_insights_usage,user_id,uuid,uuid,NO,null,FK
analytics_insights_usage,insights_generated,integer,"integer(32,0)",NO,0,
analytics_insights_usage,week_start_date,date,date,NO,null,UQ
analytics_insights_usage,last_generation_at,timestamp with time zone,timestamp with time zone,YES,null,
attendance_portals,id,uuid,uuid,NO,gen_random_uuid(),PK
attendance_portals,created_at,timestamp with time zone,timestamp with time zone,NO,now(),
attendance_portals,updated_at,timestamp with time zone,timestamp with time zone,NO,now(),
attendance_portals,event_id,uuid,uuid,NO,null,FK
attendance_portals,created_by,uuid,uuid,NO,null,FK
attendance_portals,token,text,text,NO,null,UQ
attendance_portals,is_active,boolean,boolean,NO,true,
attendance_portals,expires_at,timestamp with time zone,timestamp with time zone,YES,null,
attendance_portals,title,text,text,YES,'Event Check-in'::text,
attendance_portals,description,text,text,YES,null,
attendance_records,id,uuid,uuid,NO,gen_random_uuid(),PK
attendance_records,created_at,timestamp with time zone,timestamp with time zone,NO,now(),
attendance_records,portal_id,uuid,uuid,NO,null,FK
attendance_records,event_id,uuid,uuid,NO,null,FK
attendance_records,attendee_name,text,text,NO,null,
attendance_records,attendee_email,text,text,YES,null,
attendance_records,note,text,text,YES,null,
attendance_records,checkin_at,timestamp with time zone,timestamp with time zone,NO,now(),
attendance_records,checkout_at,timestamp with time zone,timestamp with time zone,YES,null,
attendance_records,user_agent,text,text,YES,null,
attendance_records,ip_hash,text,text,YES,null,
attendees,id,uuid,uuid,NO,gen_random_uuid(),PK
attendees,created_at,timestamp with time zone,timestamp with time zone,NO,now(),
attendees,updated_at,timestamp with time zone,timestamp with time zone,NO,now(),
attendees,event_id,uuid,uuid,NO,null,FK
attendees,event_id,uuid,uuid,NO,null,UQ
attendees,expected_attendees,integer,"integer(32,0)",NO,0,
attendees,event_attendees,integer,"integer(32,0)",NO,0,
event_chat,id,uuid,uuid,NO,gen_random_uuid(),PK
event_chat,created_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
event_chat,updated_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
event_chat,event_id,uuid,uuid,NO,null,FK
event_chat,user_id,uuid,uuid,NO,null,FK
event_chat,message,text,text,NO,null,
event_chat,message_type,text,text,YES,'text'::text,
event_chat,parent_message_id,uuid,uuid,YES,null,FK
event_chat,is_edited,boolean,boolean,YES,false,
event_chat,edited_at,timestamp with time zone,timestamp with time zone,YES,null,
event_chat,is_deleted,boolean,boolean,YES,false,
event_chat,deleted_at,timestamp with time zone,timestamp with time zone,YES,null,
event_chat,deleted_by,uuid,uuid,YES,null,FK
event_collaborators,id,uuid,uuid,NO,gen_random_uuid(),PK
event_collaborators,event_id,uuid,uuid,NO,null,FK
event_collaborators,event_id,uuid,uuid,NO,null,UQ
event_collaborators,user_id,uuid,uuid,NO,null,FK
event_collaborators,user_id,uuid,uuid,NO,null,UQ
event_collaborators,role,text,text,NO,null,
event_collaborators,invite_code,text,text,YES,null,FK
event_collaborators,invited_by,uuid,uuid,YES,null,FK
event_collaborators,joined_at,timestamp with time zone,timestamp with time zone,NO,now(),
event_collaborators,created_at,timestamp with time zone,timestamp with time zone,NO,now(),
event_collaborators,updated_at,timestamp with time zone,timestamp with time zone,NO,now(),
event_feedback,id,uuid,uuid,NO,gen_random_uuid(),PK
event_feedback,created_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
event_feedback,updated_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
event_feedback,feedback_id,uuid,uuid,NO,null,UQ
event_feedback,feedback_id,uuid,uuid,NO,null,FK
event_feedback,event_id,uuid,uuid,NO,null,FK
event_feedback,event_id,uuid,uuid,NO,null,UQ
event_insights_usage,id,uuid,uuid,NO,gen_random_uuid(),PK
event_insights_usage,event_id,uuid,uuid,NO,null,UQ
event_insights_usage,event_id,uuid,uuid,NO,null,FK
event_insights_usage,week_start_date,date,date,NO,null,UQ
event_insights_usage,total_insights_generated,integer,"integer(32,0)",YES,0,
event_insights_usage,last_generation_at,timestamp with time zone,timestamp with time zone,YES,null,
event_insights_usage,created_at,timestamp with time zone,timestamp with time zone,YES,now(),
event_insights_usage,updated_at,timestamp with time zone,timestamp with time zone,YES,now(),
event_invites,id,uuid,uuid,NO,gen_random_uuid(),PK
event_invites,event_id,uuid,uuid,NO,null,FK
event_invites,event_id,uuid,uuid,NO,null,FK
event_invites,invite_code,text,text,NO,null,UQ
event_invites,role,text,text,NO,null,
event_invites,created_by,uuid,uuid,NO,null,FK
event_invites,expires_at,timestamp with time zone,timestamp with time zone,YES,null,
event_invites,max_uses,integer,"integer(32,0)",YES,20,
event_invites,current_uses,integer,"integer(32,0)",YES,0,
event_invites,is_active,boolean,boolean,YES,true,
event_invites,created_at,timestamp with time zone,timestamp with time zone,YES,now(),
event_invites,updated_at,timestamp with time zone,timestamp with time zone,YES,now(),
event_items,id,uuid,uuid,NO,gen_random_uuid(),PK
event_items,event_id,uuid,uuid,YES,null,FK
event_items,item_name,text,text,NO,null,
event_items,item_description,text,text,YES,null,
event_items,item_quantity,integer,"integer(32,0)",NO,null,
event_items,created_at,timestamp with time zone,timestamp with time zone,YES,now(),
event_items,shared_with,ARRAY,ARRAY,YES,'{}'::uuid[],
event_items,updated_at,timestamp with time zone,timestamp with time zone,YES,"timezone('utc'::text, now())",
event_items,cost,numeric,"numeric(10,2)",YES,0.00,
event_notes,id,uuid,uuid,NO,gen_random_uuid(),PK
event_notes,created_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
event_notes,updated_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
event_notes,event_id,uuid,uuid,NO,null,FK
event_notes,event_id,uuid,uuid,NO,null,UQ
event_notes,user_id,uuid,uuid,NO,null,FK
event_notes,user_id,uuid,uuid,NO,null,UQ
event_notes,notes,text,text,YES,''::text,
event_revenue,id,uuid,uuid,NO,gen_random_uuid(),PK
event_revenue,created_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
event_revenue,updated_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
event_revenue,event_id,uuid,uuid,NO,null,UQ
event_revenue,event_id,uuid,uuid,NO,null,FK
event_revenue,organizer_id,uuid,uuid,NO,null,FK
event_revenue,total_item_cost,numeric,"numeric(10,2)",YES,0.00,
event_revenue,markup_amount,numeric,"numeric(10,2)",YES,0.00,
event_revenue,discount_amount,numeric,"numeric(10,2)",YES,0.00,
event_revenue,final_event_price,numeric,"numeric(10,2)",YES,0.00,
event_revenue,total_revenue,numeric,"numeric(10,2)",YES,0.00,
event_revenue,total_participants,integer,"integer(32,0)",YES,0,
event_revenue,revenue_per_participant,numeric,"numeric(10,2)",YES,0.00,
event_revenue,gross_profit,numeric,"numeric(10,2)",YES,0.00,
event_revenue,profit_margin_percentage,numeric,"numeric(5,2)",YES,0.00,
event_revenue,status,text,text,YES,'active'::text,
event_script,id,uuid,uuid,NO,gen_random_uuid(),PK
event_script,created_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
event_script,updated_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
event_script,event_id,uuid,uuid,NO,null,FK
event_script,user_id,uuid,uuid,NO,null,FK
event_script,file_url,text,text,NO,null,
event_script,file_name,text,text,NO,null,
event_script,file_size,bigint,"bigint(64,0)",YES,null,
event_script,mime_type,text,text,YES,null,
event_script,notes,text,text,YES,null,
events,id,uuid,uuid,NO,gen_random_uuid(),PK
events,user_id,uuid,uuid,NO,null,FK
events,title,text,text,NO,null,
events,description,text,text,YES,null,
events,date,timestamp with time zone,timestamp with time zone,YES,null,
events,location,text,text,YES,null,
events,category,text,text,YES,null,
events,image_url,text,text,YES,null,
events,created_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
events,updated_at,timestamp with time zone,timestamp with time zone,NO,"timezone('utc'::text, now())",
events,owner_id,uuid,uuid,NO,null,FK
events,is_public,boolean,boolean,YES,false,
events,status,text,text,YES,'coming_soon'::text,
events,role,text,text,YES,'owner'::text,
events,markup_type,text,text,YES,'percentage'::text,
events,markup_value,numeric,"numeric(10,2)",YES,0.00,
events,discount_type,text,text,YES,'none'::text,
events,discount_value,numeric,"numeric(10,2)",YES,0.00,
events,ai_chat_enabled,boolean,boolean,YES,false,
events,ai_insights,text,text,YES,null,
